gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn_Label,total_complaints,resolved_complaints,unresolved_complaints,call_drop_rate,data_usage_gb,throughput_Mbps,complaints_per_tenure,unresolved_ratio,drop_rate_per_tenure,data_usage_per_tenure,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TechSupport_No internet service,TechSupport_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,MultipleLines_No phone service,MultipleLines_Yes,Contract_One year,Contract_Two year
0,1,0,0,1,1,1,69.95,1,9,2,7,0.0403046758309916,0.8521793619791667,30.7125,4.5,0.7,0.0201523379154958,0.42608968098958333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,67,1,0,67.85,0,5,1,4,0.0347545546558704,0.8604451497395833,27.77083333333333,0.07352941176470588,0.6666666666666666,0.0005110963919980941,0.012653605143229166,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,1,1,67,1,1,105.65,0,5,2,3,0.0301212590299277,0.7449397786458333,24.844166666666663,0.07352941176470588,0.5,0.0004429596916165838,0.010954996744791666,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,0,1,0,2,0,0,44.6,1,5,0,5,0.0075757575757575,0.7680859375,24.26833333333333,1.6666666666666667,0.8333333333333334,0.0025252525252525,0.25602864583333335,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1,0,0,0,23,1,1,74.95,1,9,3,6,0.0312378167641325,0.7973714192708333,29.68583333333333,0.375,0.6,0.0013015756985055207,0.03322380913628472,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,9,1,0,75.5,0,19,1,18,0.0333110516934046,0.60021728515625,28.7,1.9,0.9,0.00333110516934046,0.060021728515625,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,5,1,0,20.15,0,10,3,7,0.0380787037037037,0.66431640625,20.42833333333333,1.6666666666666667,0.6363636363636364,0.00634645061728395,0.11071940104166667,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,54,0,0,45.2,0,8,0,8,0.0273434812521499,0.8227303059895833,24.169166666666666,0.14545454545454545,0.8888888888888888,0.0004971542045845436,0.014958732836174242,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,57,1,1,95.25,1,12,1,11,0.0,0.8295304361979167,29.293333333333333,0.20689655172413793,0.8461538461538461,0.0,0.01430224889996408,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1,0,0,0,24,1,1,89.85,1,12,1,11,0.0248677248677248,0.8294571940104167,27.263333333333332,0.48,0.8461538461538461,0.000994708994708992,0.03317828776041667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,1,49,1,0,100.45,1,6,1,5,0.0471969343292872,0.8280061848958334,22.4025,0.12,0.7142857142857143,0.000943938686585744,0.01656012369791667,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
1,0,0,0,5,1,0,47.15,1,15,6,9,0.0204573934837092,0.5664794921874999,28.6475,2.5,0.5625,0.0034095655806181996,0.09441324869791666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,2,1,1,80.2,1,6,1,5,0.0363074425574425,0.6193725585937501,32.43333333333333,2.0,0.7142857142857143,0.012102480852480833,0.20645751953125002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,4,1,1,87.1,1,13,3,10,0.0304802410065567,0.6876114908854167,30.411666666666665,2.6,0.7142857142857143,0.006096048201311341,0.13752229817708334,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,1,1,70,1,1,79.25,0,8,2,6,0.0099415204678362,0.8113118489583333,21.095,0.11267605633802817,0.6666666666666666,0.00014002141503994647,0.01142692745011737,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1
1,0,0,0,5,1,1,75.9,1,6,1,5,0.0055555555555555,0.7827742513020833,24.166666666666668,1.0,0.7142857142857143,0.0009259259259259167,0.1304623752170139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,53,1,0,85.7,0,17,7,10,0.0361519607843137,0.71918212890625,33.43416666666666,0.3148148148148148,0.5555555555555556,0.0006694807552650686,0.013318187572337962,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
0,0,1,0,47,1,1,98.75,1,18,3,15,0.0083333333333333,0.8117342122395833,23.441666666666663,0.375,0.7894736842105263,0.0001736111111111104,0.016911129421657987,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,0,0,1,31,1,0,20.1,0,13,6,7,0.0208333333333333,0.7504703776041667,34.225833333333334,0.40625,0.5,0.0006510416666666657,0.02345219930013021,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,1,13,1,0,61.8,0,14,3,11,0.0059523809523809,0.6682145182291667,27.99,1.0,0.7333333333333333,0.00042517006802720713,0.04772960844494047,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,1,1,28,1,0,49.9,0,8,3,5,0.043025180157533,0.8331437174479167,24.74083333333333,0.27586206896551724,0.5555555555555556,0.0014836269019838965,0.028729093705100576,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,10,1,0,86.45,1,5,2,3,0.039739500265816,0.77065673828125,29.09083333333333,0.45454545454545453,0.5,0.0036126818423469088,0.07005970348011364,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,38,1,0,20.4,0,17,5,12,0.0297979797979798,0.7485522460937499,23.413333333333338,0.4358974358974359,0.6666666666666666,0.0007640507640507641,0.01919364733573718,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,0,0,1,1,1,45.3,1,10,3,7,0.0329861111111111,0.760087890625,27.82,5.0,0.6363636363636364,0.01649305555555555,0.3800439453125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,67,1,0,104.1,1,7,2,5,0.0194444444444444,0.9158829752604166,31.56583333333333,0.10294117647058823,0.625,0.0002859477124183,0.01346886728324142,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
1,0,1,0,52,1,1,75.4,0,7,1,6,0.0232452732452732,0.7900545247395834,31.90083333333333,0.1320754716981132,0.75,0.0004385900612315698,0.014906689146029875,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
1,0,1,1,62,1,0,108.15,0,20,4,16,0.0139860139860139,0.5597843424479166,26.93583333333333,0.31746031746031744,0.7619047619047619,0.00022200022200022062,0.008885465753141534,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,0,0,16,1,1,86.25,0,5,0,5,0.0181712962962962,0.6781868489583333,34.33416666666667,0.29411764705882354,0.8333333333333334,0.0010688997821350706,0.03989334405637254,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,1,0,5,1,1,81.0,1,11,3,8,0.0280501089324618,0.6816357421875,27.13416666666667,1.8333333333333333,0.6666666666666666,0.0046750181554103,0.11360595703125,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,12,1,0,95.7,0,6,2,4,0.0134259259259259,0.66757568359375,27.49833333333333,0.46153846153846156,0.5714285714285714,0.0010327635327635307,0.05135197566105769,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
0,0,1,1,72,1,1,116.85,0,8,2,6,0.0390491452991453,0.7837849934895833,31.79083333333333,0.1095890410958904,0.6666666666666666,0.0005349197986184288,0.010736780732734017,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,1,0,0,71,1,0,105.75,0,8,4,4,0.0339312648136177,0.6383919270833333,25.17,0.1111111111111111,0.4444444444444444,0.0004712675668558013,0.008866554542824073,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0
0,0,1,0,24,1,0,20.15,0,18,3,15,0.0,0.8258430989583333,34.339166666666664,0.72,0.7894736842105263,0.0,0.03303372395833333,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,15,1,0,19.6,0,8,0,8,0.0193783068783068,0.7674943033854168,22.856666666666666,0.5,0.8888888888888888,0.001211144179894175,0.04796839396158855,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,1,0,67,1,1,90.6,1,8,2,6,0.0182748538011695,0.7168782552083334,25.99833333333333,0.11764705882352941,0.6666666666666666,0.0002687478500171985,0.010542327282475492,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,1,2,1,0,60.95,0,13,1,12,0.0362082362082362,0.8092960611979167,25.566666666666663,4.333333333333333,0.8571428571428571,0.012069412069412066,0.26976535373263894,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,5,0,0,25.05,0,7,2,5,0.0119658119658119,0.7872265624999999,27.075000000000003,1.1666666666666667,0.625,0.0019943019943019836,0.13120442708333332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,15,1,0,88.15,1,5,2,3,0.0171130952380952,0.5465901692708334,25.543333333333333,0.3125,0.5,0.00106956845238095,0.034161885579427086,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,1,1,1,20.2,1,12,4,8,0.0606316137566137,0.8308284505208334,31.6325,6.0,0.6153846153846154,0.03031580687830685,0.4154142252604167,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,1,1,41,1,1,60.3,0,14,3,11,0.023313492063492,0.8788427734375,27.58,0.3333333333333333,0.7333333333333333,0.0005550831443688572,0.020924827938988096,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,1,43,1,1,63.95,0,7,2,5,0.0220720166056853,0.8985319010416667,25.52,0.1590909090909091,0.625,0.0005016367410383023,0.020421179569128787,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,1,0,74.3,0,8,2,6,0.0153273809523809,0.95962890625,28.441666666666663,4.0,0.6666666666666666,0.00766369047619045,0.479814453125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,1,1,70.6,0,10,3,7,0.0104166666666666,1.0552880859375,27.843333333333334,5.0,0.6363636363636364,0.0052083333333333,0.52764404296875,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,26,1,1,90.8,1,13,4,9,0.0478009259259259,0.81873046875,21.8475,0.48148148148148145,0.6428571428571429,0.0017704046639231816,0.030323350694444445,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,22,1,1,79.35,1,15,5,10,0.0326240752711341,0.8073388671875,26.91,0.6521739130434783,0.625,0.0014184380552666998,0.03510168987771739,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,1,0,71,1,0,90.55,0,19,2,17,0.0298489278752436,0.8266927083333333,28.4725,0.2638888888888889,0.85,0.00041456844271171666,0.011481843171296295,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,0,0,7,1,0,19.45,0,12,2,10,0.022094298245614,0.9562996419270834,35.10583333333333,1.5,0.7692307692307693,0.00276178728070175,0.11953745524088542,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1,0,0,28,1,0,64.45,0,13,1,12,0.0052083333333333,0.8369238281249999,30.575833333333332,0.4482758620689655,0.8571428571428571,0.00017959770114942415,0.028859442349137926,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,1,0,0,16,1,0,69.65,0,10,2,8,0.0443590314913844,0.7743058268229167,23.8025,0.5882352941176471,0.7272727272727273,0.002609354793610847,0.04554740157781863,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,7,1,0,19.5,0,19,5,14,0.0483796296296296,0.6279060872395833,19.05,2.375,0.7,0.0060474537037037,0.07848826090494791,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,69,1,1,110.5,0,20,7,13,0.050452441077441,0.8729736328125001,29.4225,0.2857142857142857,0.6190476190476191,0.0007207491582491571,0.01247105189732143,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,0,0,1,1,0,0,24.7,0,16,4,12,0.0247499028749028,0.6534505208333333,21.905,8.0,0.7058823529411765,0.0123749514374514,0.32672526041666666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,3,1,1,77.4,0,14,3,11,0.013401559454191,0.7205232747395832,29.396666666666665,3.5,0.7333333333333333,0.00335038986354775,0.1801308186848958,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
1,1,0,0,21,1,1,96.8,1,17,5,12,0.0139705882352941,0.7086962890624999,27.7325,0.7727272727272727,0.6666666666666666,0.0006350267379679136,0.03221346768465909,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
0,0,1,0,69,1,1,85.4,0,17,6,11,0.0362794612794612,0.6586287434895833,24.3225,0.24285714285714285,0.6111111111111112,0.0005182780182780172,0.00940898204985119,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,0,1,0,71,0,1,47.6,0,13,3,10,0.0139860139860139,0.7218245442708334,23.606666666666666,0.18055555555555555,0.7142857142857143,0.00019425019425019306,0.010025340892650465,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
0,0,1,1,69,1,0,19.4,0,5,5,0,0.0092592592592592,0.6777172851562501,29.34166666666667,0.07142857142857142,0.0,0.00013227513227513142,0.009681675502232144,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,0,0,48,1,1,103.85,0,10,3,7,0.0231481481481481,0.8214542643229167,28.929166666666664,0.20408163265306123,0.6363636363636364,0.00047241118669689997,0.016764372741284013,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,1,0,47,1,1,83.35,1,16,4,12,0.0614448051948052,0.5290437825520834,25.295,0.3333333333333333,0.7058823529411765,0.0012801001082251083,0.011021745469835071,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,0,0,0,2,1,1,49.4,1,14,3,11,0.0288194444444444,0.7731087239583333,28.218333333333334,4.666666666666667,0.7333333333333333,0.009606481481481468,0.2577029079861111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,45,1,1,108.45,0,18,6,12,0.0218891402714932,0.5711287434895833,32.745,0.391304347826087,0.631578947368421,0.0004758508754672435,0.01241584224977355,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,51,1,0,81.0,0,9,3,6,0.025201106083459,0.4844710286458333,25.30333333333333,0.17307692307692307,0.6,0.00048463665545113465,0.00931675055088141,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,22,1,1,79.2,1,15,3,12,0.0085526315789473,0.7211287434895833,26.934166666666663,0.6521739130434783,0.75,0.00037185354691075215,0.031353423629981884,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1,0,0,0,72,1,0,86.65,0,12,1,11,0.0128968253968253,0.7196964518229167,24.50583333333333,0.1643835616438356,0.8461538461538461,0.00017666884105240139,0.009858855504423517,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,1,37,1,1,92.95,0,17,2,15,0.0406502367028682,0.7318408203125001,27.204166666666666,0.4473684210526316,0.8333333333333334,0.0010697430711281105,0.019258968955592107,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,1,1,71,1,0,90.35,0,7,1,6,0.0192007797270955,0.72787841796875,32.30166666666667,0.09722222222222222,0.75,0.00026667749620965973,0.010109422471788193,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,1,7,1,0,48.7,1,16,6,10,0.0358552631578947,0.5312418619791667,30.10083333333333,2.0,0.5882352941176471,0.004481907894736838,0.06640523274739583,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,66,1,1,25.15,0,17,2,15,0.0306051587301587,0.934296875,30.40083333333333,0.2537313432835821,0.8333333333333334,0.0004567934138829657,0.01394472947761194,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
1,0,1,1,51,1,1,76.4,0,8,0,8,0.0055555555555555,0.7956437174479166,30.775,0.15384615384615385,0.8888888888888888,0.00010683760683760578,0.015300840720152243,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
0,0,1,1,30,1,0,19.55,0,19,4,15,0.025219298245614,0.8888167317708334,26.06,0.6129032258064516,0.75,0.000813525749858516,0.028671507476478498,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,34,1,0,85.35,0,18,5,13,0.0345194071780759,0.6002571614583333,32.288333333333334,0.5142857142857142,0.6842105263157895,0.0009862687765164544,0.017150204613095237,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,1,1,64,1,1,24.8,0,18,6,12,0.0083333333333333,0.9567203776041668,28.44,0.27692307692307694,0.631578947368421,0.0001282051282051277,0.014718775040064105,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
1,1,1,0,65,1,1,103.15,0,10,5,5,0.0178571428571428,0.6896419270833333,32.035833333333336,0.15151515151515152,0.45454545454545453,0.0002705627705627697,0.010449120107323231,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
1,0,0,0,47,1,0,100.75,0,16,1,15,0.0136452241715399,0.7909366861979166,31.70583333333333,0.3333333333333333,0.8823529411764706,0.0002842755035737479,0.01647784762912326,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,1,1,95.6,1,7,0,7,0.035110294117647,0.7626619466145833,21.430000000000003,3.5,0.875,0.0175551470588235,0.38133097330729165,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,49,1,1,59.75,1,5,3,2,0.0356258665082194,0.6156477864583333,29.309166666666663,0.1,0.3333333333333333,0.0007125173301643881,0.012312955729166665,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,67,1,0,94.1,0,11,2,9,0.0328581871345029,0.8551114908854167,26.695,0.16176470588235295,0.75,0.00048320863433092497,0.012575168983609069,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,1,39,1,0,19.35,0,18,5,13,0.0448830409356725,0.5820898437500001,23.15,0.45,0.6842105263157895,0.0011220760233918124,0.014552246093750002,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,14,1,0,19.9,0,20,5,15,0.0692696106782794,0.7682617187499999,23.18,1.3333333333333333,0.7142857142857143,0.004617974045218627,0.051217447916666665,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,1,0,0,43,1,1,108.15,1,14,5,9,0.0146241830065359,0.73720458984375,27.0125,0.3181818181818182,0.6,0.00033236779560308864,0.016754649769176136,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1,1,0,0,56,1,1,101.05,0,13,4,9,0.0414351851851851,0.6969978841145833,31.8175,0.22807017543859648,0.6428571428571429,0.0007269330734243001,0.012228033054641813,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,14,1,0,59.1,0,11,1,10,0.0208333333333333,0.7990299479166666,26.905,0.7333333333333333,0.8333333333333334,0.0013888888888888868,0.05326866319444444,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,1,0,71.35,1,14,7,7,0.0234126984126984,0.7125911458333333,38.535833333333336,7.0,0.4666666666666667,0.0117063492063492,0.35629557291666664,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,16,1,1,55.85,0,13,7,6,0.0322916666666666,0.6369352213541667,24.843333333333334,0.7647058823529411,0.42857142857142855,0.0018995098039215647,0.03746677772671569,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,1,1,70,1,1,106.05,0,13,4,9,0.0395711500974658,0.88934814453125,30.81083333333333,0.18309859154929578,0.6428571428571429,0.0005573401422178281,0.012526030204665493,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
1,1,1,0,72,1,1,84.1,0,15,3,12,0.0226190476190476,0.9137939453125,25.61916666666667,0.2054794520547945,0.75,0.0003098499673842137,0.012517725278253424,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,0,1,1,23,1,1,75.3,0,9,1,8,0.035515873015873,0.7521858723958333,23.12333333333333,0.375,0.8,0.0014798280423280418,0.03134107801649306,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,21,1,0,24.7,0,20,6,14,0.0187908496732026,0.5961393229166667,20.6,0.9090909090909091,0.6666666666666666,0.0008541295306001181,0.027097241950757578,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,20.15,1,18,5,13,0.0326597744360902,0.5893359375,23.60833333333333,9.0,0.6842105263157895,0.0163298872180451,0.29466796875,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,1,1,1,0,69.75,1,18,5,13,0.0249368686868686,0.7593815104166667,31.4625,9.0,0.6842105263157895,0.0124684343434343,0.37969075520833334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,32,1,1,93.2,1,16,3,13,0.0152116402116402,0.7556599934895832,29.38,0.48484848484848486,0.7647058823529411,0.00046095879429212727,0.02289878768150252,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1,0,1,1,17,1,0,80.85,1,18,5,13,0.0321998177261335,0.8223893229166667,26.593333333333334,1.0,0.6842105263157895,0.0017888787625629722,0.04568829571759259,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,4,0,1,33.65,1,19,6,13,0.0336589336589336,0.8309366861979166,27.86,3.8,0.65,0.00673178673178672,0.16618733723958332,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,36,1,0,55.8,0,10,3,7,0.0450757575757575,0.7181599934895834,22.418333333333333,0.2702702702702703,0.6363636363636364,0.0012182637182637161,0.019409729553772525,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
0,0,0,0,50,0,0,39.7,0,15,5,10,0.0335266585266585,0.9328401692708334,30.47666666666667,0.29411764705882354,0.625,0.0006573854613070295,0.01829098371119281,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,0,1,1,48,0,1,29.5,0,19,1,18,0.0375,0.99864013671875,36.7975,0.3877551020408163,0.9,0.0007653061224489796,0.020380410953443878,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,50,1,0,20.15,0,10,5,5,0.034375,0.83860107421875,30.345,0.19607843137254902,0.45454545454545453,0.0006740196078431374,0.016443158318014704,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,1,0,72,1,0,79.55,0,6,0,6,0.0122053872053872,0.8551765950520833,28.13583333333333,0.0821917808219178,0.8571428571428571,0.00016719708500530412,0.0117147478774258,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1
1,0,0,1,10,1,0,24.8,0,12,4,8,0.0243055555555555,0.6241569010416667,22.242500000000003,1.0909090909090908,0.6153846153846154,0.0022095959595959547,0.05674153645833333,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
0,0,0,0,18,1,0,19.65,0,12,6,6,0.0165343915343915,0.8960302734375,21.27083333333333,0.631578947368421,0.46153846153846156,0.0008702311333890262,0.047159488075657896,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,1,1,1,79.95,1,15,5,10,0.0235888294711824,0.7793546549479166,31.26083333333333,7.5,0.625,0.0117944147355912,0.3896773274739583,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,19.3,1,5,2,3,0.0242272347535505,0.76713623046875,25.48333333333333,2.5,0.5,0.01211361737677525,0.383568115234375,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,9,1,1,94.05,0,20,4,16,0.0138888888888888,0.5670402018229167,27.805833333333336,2.0,0.7619047619047619,0.00138888888888888,0.05670402018229167,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1,0,0,0,2,1,0,90.75,0,16,3,13,0.0,0.8206795247395834,21.94333333333333,5.333333333333333,0.7647058823529411,0.0,0.27355984157986113,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,0,40,1,1,78.85,0,12,3,9,0.0464896214896214,0.8418717447916667,21.73,0.2926829268292683,0.6923076923076923,0.0011338932070639367,0.02053345719004065,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,69,1,0,99.5,0,14,3,11,0.0165387426900584,0.8786336263020833,26.56,0.2,0.7333333333333333,0.00023626775271512002,0.012551908947172619,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
0,0,1,0,37,1,1,99.2,1,7,1,6,0.0243464052287581,0.7675480143229167,25.6125,0.18421052631578946,0.75,0.0006406948744410026,0.02019863195586623,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0
1,0,0,1,18,1,1,80.55,0,15,4,11,0.0101851851851851,0.8251643880208333,23.273333333333337,0.7894736842105263,0.6875,0.0005360623781676368,0.04342970463267543,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
