,complaint_id,customerID,date,issue,status
32319,CMP170758,1265-BCFEO,2024-08-30,Slow internet,Closed
32321,CMP961117,1265-BCFEO,2024-09-03,Slow internet,Closed
32316,CMP292169,1265-BCFEO,2024-11-16,Slow internet,Open
32320,CMP926294,1265-BCFEO,2025-04-12,Unexpected charges,In Progress
32317,CMP288640,1265-BCFEO,2025-04-15,Service outage,Closed
23035,CMP637308,1265-HVPZB,2024-05-14,Slow internet,In Progress
23034,CMP127790,1265-HVPZB,2024-05-17,Frequent disconnection,In Progress
23032,CMP142144,1265-HVPZB,2024-06-03,Unexpected charges,Closed
23025,CMP333533,1265-HVPZB,2024-06-07,Service outage,In Progress
23022,CMP651464,1265-HVPZB,2024-07-19,Slow internet,Resolved
23023,CMP210738,1265-HVPZB,2024-08-29,Billing error,Resolved
23037,CMP672972,1265-HVPZB,2024-09-07,Poor customer service,In Progress
23024,CMP231384,1265-HVPZB,2024-09-12,Unexpected charges,Closed
23031,CMP542515,1265-HVPZB,2024-09-17,Poor customer service,Closed
23021,CMP888944,1265-HVPZB,2024-11-02,Network issue,In Progress
23026,CMP144846,1265-HVPZB,2024-11-14,Unexpected charges,Resolved
23030,CMP623932,1265-HVPZB,2025-01-05,Service outage,Open
23029,CMP571372,1265-HVPZB,2025-01-07,Poor customer service,Open
23036,CMP141784,1265-HVPZB,2025-02-04,Network issue,In Progress
23033,CMP651851,1265-HVPZB,2025-02-12,Network issue,Resolved
23027,CMP280125,1265-HVPZB,2025-03-11,Network issue,Resolved
23028,CMP431874,1265-HVPZB,2025-04-25,App issue,Resolved
71329,CMP733629,1265-XTECC,2024-05-22,Unexpected charges,Resolved
71331,CMP273939,1265-XTECC,2024-06-11,Slow internet,Open
71330,CMP500037,1265-XTECC,2024-07-15,Service outage,Resolved
71332,CMP209990,1265-XTECC,2024-09-15,Unexpected charges,Resolved
71328,CMP498480,1265-XTECC,2025-01-08,App issue,Resolved
39618,CMP106987,1265-ZFOSD,2024-06-18,Unexpected charges,Closed
39619,CMP524288,1265-ZFOSD,2024-08-15,Service outage,Resolved
39623,CMP282626,1265-ZFOSD,2024-08-18,Unexpected charges,Resolved
39624,CMP244198,1265-ZFOSD,2024-08-27,Slow internet,Open
39620,CMP958698,1265-ZFOSD,2024-11-30,App issue,In Progress
39621,CMP494133,1265-ZFOSD,2024-12-23,Network issue,Closed
39622,CMP168675,1265-ZFOSD,2025-03-03,App issue,Open
9577,CMP619041,1266-NZYUI,2024-05-01,Poor customer service,Closed
9576,CMP106344,1266-NZYUI,2024-08-17,Billing error,Open
9571,CMP115676,1266-NZYUI,2024-10-26,Service outage,Closed
9575,CMP878494,1266-NZYUI,2024-11-07,Frequent disconnection,In Progress
9572,CMP682099,1266-NZYUI,2024-12-01,Frequent disconnection,Resolved
9578,CMP699105,1266-NZYUI,2024-12-30,Frequent disconnection,Closed
9573,CMP772758,1266-NZYUI,2025-03-07,App issue,In Progress
9574,CMP331711,1266-NZYUI,2025-04-29,Frequent disconnection,In Progress
62357,CMP298286,1268-ASBGA,2024-05-01,Service outage,In Progress
62355,CMP730976,1268-ASBGA,2024-05-17,Service outage,Open
62345,CMP330632,1268-ASBGA,2024-05-24,Network issue,In Progress
62352,CMP763812,1268-ASBGA,2024-08-03,App issue,In Progress
62359,CMP850888,1268-ASBGA,2024-08-17,Service outage,Resolved
62351,CMP517644,1268-ASBGA,2024-08-18,Service outage,Open
62349,CMP822709,1268-ASBGA,2024-08-28,Frequent disconnection,In Progress
62358,CMP921007,1268-ASBGA,2024-09-30,Slow internet,Resolved
62361,CMP895624,1268-ASBGA,2024-10-03,Network issue,In Progress
62354,CMP797984,1268-ASBGA,2024-10-22,Network issue,Open
62350,CMP978444,1268-ASBGA,2024-10-29,Poor customer service,Closed
62356,CMP887167,1268-ASBGA,2024-11-18,Unexpected charges,In Progress
62353,CMP699099,1268-ASBGA,2024-11-28,Poor customer service,Resolved
62346,CMP796329,1268-ASBGA,2024-12-10,Poor customer service,Closed
62348,CMP328938,1268-ASBGA,2024-12-13,Frequent disconnection,Resolved
62360,CMP659035,1268-ASBGA,2024-12-15,Slow internet,In Progress
62347,CMP439279,1268-ASBGA,2025-01-12,Network issue,Closed
57400,CMP435660,1269-FOYWN,2024-05-02,Frequent disconnection,Closed
57396,CMP650048,1269-FOYWN,2024-05-17,Frequent disconnection,In Progress
57408,CMP442737,1269-FOYWN,2024-06-14,Slow internet,Closed
57401,CMP700213,1269-FOYWN,2024-08-06,Slow internet,In Progress
57394,CMP139672,1269-FOYWN,2024-08-26,Frequent disconnection,Open
57397,CMP878318,1269-FOYWN,2024-09-24,Network issue,Resolved
57404,CMP443862,1269-FOYWN,2024-10-11,Unexpected charges,In Progress
57402,CMP206065,1269-FOYWN,2024-10-25,Service outage,In Progress
57409,CMP132687,1269-FOYWN,2024-10-26,Unexpected charges,In Progress
57407,CMP413495,1269-FOYWN,2024-10-29,Service outage,Closed
57395,CMP238250,1269-FOYWN,2024-10-30,App issue,Resolved
57405,CMP691838,1269-FOYWN,2024-11-05,Unexpected charges,Closed
57410,CMP258215,1269-FOYWN,2024-11-14,Poor customer service,Resolved
57393,CMP246825,1269-FOYWN,2024-11-18,Frequent disconnection,Open
57398,CMP306444,1269-FOYWN,2024-12-02,Service outage,In Progress
57406,CMP650952,1269-FOYWN,2024-12-04,Poor customer service,Closed
57403,CMP580409,1269-FOYWN,2024-12-13,Poor customer service,Resolved
57399,CMP813197,1269-FOYWN,2025-01-03,Frequent disconnection,Closed
65914,CMP945026,1270-XKUCC,2024-08-05,Poor customer service,Resolved
65911,CMP392305,1270-XKUCC,2024-08-11,Unexpected charges,In Progress
65913,CMP105108,1270-XKUCC,2024-10-19,Unexpected charges,Resolved
65910,CMP713045,1270-XKUCC,2024-11-03,Billing error,Closed
65916,CMP614090,1270-XKUCC,2025-01-09,Network issue,Resolved
65915,CMP196437,1270-XKUCC,2025-01-22,Frequent disconnection,Closed
65917,CMP947068,1270-XKUCC,2025-01-29,Poor customer service,Closed
65912,CMP889104,1270-XKUCC,2025-02-07,Poor customer service,Resolved
13213,CMP115476,1271-SJBGZ,2024-05-27,Slow internet,Resolved
13212,CMP587129,1271-SJBGZ,2024-06-07,Billing error,In Progress
13210,CMP390217,1271-SJBGZ,2024-07-06,Frequent disconnection,In Progress
13211,CMP992175,1271-SJBGZ,2024-08-04,Unexpected charges,Open
13206,CMP211084,1271-SJBGZ,2024-08-09,Service outage,Resolved
13200,CMP530899,1271-SJBGZ,2024-08-16,Service outage,Resolved
13208,CMP601938,1271-SJBGZ,2024-09-09,Service outage,Closed
13204,CMP744296,1271-SJBGZ,2024-11-02,Service outage,Open
13207,CMP321763,1271-SJBGZ,2024-12-31,Frequent disconnection,In Progress
13205,CMP660796,1271-SJBGZ,2025-01-04,Poor customer service,Closed
13203,CMP905589,1271-SJBGZ,2025-02-02,App issue,Open
13214,CMP381098,1271-SJBGZ,2025-02-16,Poor customer service,In Progress
13201,CMP905675,1271-SJBGZ,2025-03-14,Slow internet,Resolved
13202,CMP307966,1271-SJBGZ,2025-03-19,Service outage,Open
13209,CMP564834,1271-SJBGZ,2025-03-30,Network issue,In Progress
14045,CMP895067,1271-UODNO,2024-05-14,Poor customer service,Closed
14040,CMP261283,1271-UODNO,2024-07-20,Billing error,In Progress
14038,CMP612203,1271-UODNO,2024-08-02,Frequent disconnection,In Progress
14043,CMP295096,1271-UODNO,2024-08-11,Slow internet,Resolved
14039,CMP371647,1271-UODNO,2024-08-18,Service outage,Open
14041,CMP962790,1271-UODNO,2024-08-21,App issue,Resolved
14050,CMP747204,1271-UODNO,2024-10-31,Frequent disconnection,In Progress
14037,CMP506719,1271-UODNO,2024-11-16,App issue,Open
14048,CMP375438,1271-UODNO,2024-12-01,Billing error,Open
14047,CMP876773,1271-UODNO,2025-01-14,Unexpected charges,Resolved
14042,CMP305610,1271-UODNO,2025-01-30,Unexpected charges,Open
14036,CMP363821,1271-UODNO,2025-03-06,Billing error,Resolved
14049,CMP154195,1271-UODNO,2025-03-13,Billing error,Closed
14051,CMP811767,1271-UODNO,2025-03-23,Unexpected charges,In Progress
14044,CMP260720,1271-UODNO,2025-04-01,Network issue,Resolved
14046,CMP730061,1271-UODNO,2025-04-12,Frequent disconnection,Resolved
83576,CMP878001,1272-ILHFG,2024-05-22,Service outage,Closed
83588,CMP109410,1272-ILHFG,2024-05-24,Poor customer service,Resolved
83578,CMP672097,1272-ILHFG,2024-05-26,App issue,In Progress
83589,CMP373369,1272-ILHFG,2024-06-20,Network issue,Closed
83579,CMP398927,1272-ILHFG,2024-07-31,Poor customer service,Open
83590,CMP890490,1272-ILHFG,2024-08-09,Network issue,Open
83591,CMP706904,1272-ILHFG,2024-08-23,Billing error,Open
83580,CMP186364,1272-ILHFG,2024-09-03,Poor customer service,In Progress
83585,CMP964837,1272-ILHFG,2024-09-24,Billing error,Closed
83582,CMP878187,1272-ILHFG,2024-10-29,Billing error,In Progress
83583,CMP953443,1272-ILHFG,2024-11-06,Network issue,Closed
83587,CMP551187,1272-ILHFG,2025-01-15,Service outage,Resolved
83586,CMP894778,1272-ILHFG,2025-02-11,Billing error,Resolved
83577,CMP365815,1272-ILHFG,2025-02-12,Poor customer service,Closed
83575,CMP721036,1272-ILHFG,2025-02-27,Billing error,Closed
83584,CMP187962,1272-ILHFG,2025-03-09,Frequent disconnection,Open
83581,CMP620089,1272-ILHFG,2025-03-29,Slow internet,Open
85286,CMP379177,1273-MTETI,2024-05-07,Slow internet,Closed
85280,CMP617435,1273-MTETI,2024-07-10,Unexpected charges,Closed
85281,CMP324388,1273-MTETI,2024-10-06,Service outage,Closed
85276,CMP350493,1273-MTETI,2024-11-12,Poor customer service,Closed
85285,CMP636259,1273-MTETI,2024-11-20,Unexpected charges,Resolved
85283,CMP716993,1273-MTETI,2025-02-19,Poor customer service,Closed
85277,CMP406282,1273-MTETI,2025-02-20,Poor customer service,In Progress
85282,CMP967353,1273-MTETI,2025-02-24,Poor customer service,Open
85278,CMP909904,1273-MTETI,2025-03-26,Unexpected charges,In Progress
85279,CMP378872,1273-MTETI,2025-04-12,Network issue,In Progress
85284,CMP988034,1273-MTETI,2025-04-19,Poor customer service,In Progress
14727,CMP934073,1282-IHQAC,2024-06-09,Billing error,Open
14719,CMP632650,1282-IHQAC,2024-07-12,Poor customer service,Resolved
14720,CMP915106,1282-IHQAC,2024-08-09,Unexpected charges,Closed
14726,CMP545395,1282-IHQAC,2024-10-21,Unexpected charges,Closed
14728,CMP945429,1282-IHQAC,2024-10-28,Network issue,Open
14722,CMP191074,1282-IHQAC,2024-11-11,Frequent disconnection,Open
14718,CMP312360,1282-IHQAC,2024-11-16,Unexpected charges,Closed
14724,CMP287638,1282-IHQAC,2024-11-19,Service outage,Open
14723,CMP653896,1282-IHQAC,2024-12-24,Network issue,Open
14721,CMP215999,1282-IHQAC,2025-01-27,Poor customer service,Closed
14725,CMP342471,1282-IHQAC,2025-03-09,Unexpected charges,Closed
2637,CMP178069,1285-OKIPP,2024-05-05,Network issue,Closed
2636,CMP728050,1285-OKIPP,2024-07-05,Service outage,Resolved
2638,CMP328746,1285-OKIPP,2024-08-01,Frequent disconnection,Closed
2634,CMP771950,1285-OKIPP,2024-08-18,Network issue,In Progress
2639,CMP901482,1285-OKIPP,2025-03-25,Slow internet,In Progress
2635,CMP139102,1285-OKIPP,2025-03-26,Network issue,Resolved
16382,CMP592431,1291-CUOCY,2024-05-12,Frequent disconnection,Open
16390,CMP550175,1291-CUOCY,2024-06-06,Frequent disconnection,Closed
16385,CMP416099,1291-CUOCY,2024-07-06,Unexpected charges,Resolved
16391,CMP973732,1291-CUOCY,2024-08-31,Billing error,Open
16392,CMP272364,1291-CUOCY,2024-09-15,Network issue,Resolved
16383,CMP373086,1291-CUOCY,2024-10-03,Frequent disconnection,Open
16389,CMP767615,1291-CUOCY,2024-10-08,App issue,Resolved
16394,CMP333485,1291-CUOCY,2024-10-09,Network issue,In Progress
16376,CMP672289,1291-CUOCY,2024-10-17,Frequent disconnection,In Progress
16378,CMP945996,1291-CUOCY,2024-10-25,Network issue,Resolved
16381,CMP851438,1291-CUOCY,2024-12-06,Unexpected charges,Open
16384,CMP476414,1291-CUOCY,2025-01-04,Poor customer service,Resolved
16380,CMP956833,1291-CUOCY,2025-01-08,Slow internet,Open
16379,CMP139017,1291-CUOCY,2025-01-14,Unexpected charges,Resolved
16386,CMP309755,1291-CUOCY,2025-02-24,Unexpected charges,Closed
16377,CMP669524,1291-CUOCY,2025-03-09,App issue,Closed
16393,CMP668064,1291-CUOCY,2025-04-01,Service outage,Open
16388,CMP621265,1291-CUOCY,2025-04-06,Slow internet,Open
16387,CMP598762,1291-CUOCY,2025-04-14,App issue,In Progress
79016,CMP401524,1293-BSEUN,2024-06-04,Frequent disconnection,Open
79013,CMP318424,1293-BSEUN,2024-06-06,Unexpected charges,Open
79015,CMP922682,1293-BSEUN,2024-06-12,App issue,In Progress
79005,CMP135393,1293-BSEUN,2024-06-29,Slow internet,Resolved
79019,CMP145672,1293-BSEUN,2024-07-10,Billing error,Open
79007,CMP678738,1293-BSEUN,2024-07-14,App issue,Open
79014,CMP201808,1293-BSEUN,2024-09-24,Frequent disconnection,Closed
79010,CMP728634,1293-BSEUN,2024-10-24,Frequent disconnection,Open
79021,CMP252868,1293-BSEUN,2024-11-30,Billing error,In Progress
79011,CMP466747,1293-BSEUN,2024-12-25,Poor customer service,In Progress
79012,CMP601660,1293-BSEUN,2025-01-06,Network issue,Open
79008,CMP742969,1293-BSEUN,2025-01-15,Billing error,Open
79002,CMP258943,1293-BSEUN,2025-01-20,Frequent disconnection,Closed
79003,CMP915895,1293-BSEUN,2025-01-27,Slow internet,In Progress
79018,CMP134413,1293-BSEUN,2025-02-03,Unexpected charges,In Progress
79004,CMP425697,1293-BSEUN,2025-02-07,Network issue,In Progress
79017,CMP333124,1293-BSEUN,2025-02-09,Network issue,Closed
79009,CMP697203,1293-BSEUN,2025-02-24,Frequent disconnection,Resolved
79020,CMP664881,1293-BSEUN,2025-03-06,Unexpected charges,Closed
79006,CMP623177,1293-BSEUN,2025-04-10,Unexpected charges,Closed
43177,CMP772197,1293-HHSHJ,2024-06-22,Network issue,In Progress
43175,CMP645304,1293-HHSHJ,2024-07-03,Frequent disconnection,Resolved
43174,CMP757445,1293-HHSHJ,2024-08-12,Network issue,Resolved
43173,CMP832951,1293-HHSHJ,2024-10-14,Poor customer service,Open
43179,CMP210802,1293-HHSHJ,2025-01-02,Unexpected charges,Resolved
43178,CMP572119,1293-HHSHJ,2025-02-09,App issue,Closed
43176,CMP843779,1293-HHSHJ,2025-03-12,Network issue,Closed
6682,CMP401466,1297-VQDRP,2024-06-17,Billing error,Open
6693,CMP469617,1297-VQDRP,2024-07-02,Billing error,In Progress
6686,CMP328578,1297-VQDRP,2024-07-11,Slow internet,In Progress
6692,CMP559312,1297-VQDRP,2024-07-28,Network issue,In Progress
6688,CMP498543,1297-VQDRP,2024-08-02,Network issue,Open
6684,CMP286882,1297-VQDRP,2024-09-13,Billing error,Resolved
6685,CMP781718,1297-VQDRP,2024-10-27,Network issue,Resolved
6694,CMP711307,1297-VQDRP,2024-11-01,Network issue,Open
6690,CMP783604,1297-VQDRP,2024-12-10,Service outage,In Progress
6681,CMP615355,1297-VQDRP,2024-12-27,Poor customer service,In Progress
6687,CMP766967,1297-VQDRP,2025-01-06,Poor customer service,Open
6680,CMP323754,1297-VQDRP,2025-01-09,Frequent disconnection,In Progress
6689,CMP789686,1297-VQDRP,2025-02-06,Frequent disconnection,In Progress
6691,CMP681853,1297-VQDRP,2025-02-10,Poor customer service,Open
6683,CMP521506,1297-VQDRP,2025-04-20,Slow internet,Closed
21254,CMP910305,1298-PHBTI,2024-07-10,Service outage,Open
21264,CMP579987,1298-PHBTI,2024-08-19,Frequent disconnection,Resolved
21261,CMP898895,1298-PHBTI,2024-09-03,Service outage,In Progress
21265,CMP340102,1298-PHBTI,2024-09-11,Billing error,In Progress
21263,CMP442785,1298-PHBTI,2024-09-13,Network issue,Closed
21267,CMP692741,1298-PHBTI,2024-10-21,Unexpected charges,Open
21255,CMP412092,1298-PHBTI,2024-11-02,Poor customer service,Open
21258,CMP737420,1298-PHBTI,2024-11-19,Network issue,Open
21262,CMP671213,1298-PHBTI,2024-11-21,Network issue,Closed
21266,CMP349596,1298-PHBTI,2024-11-29,Unexpected charges,Closed
21259,CMP585795,1298-PHBTI,2024-12-17,Frequent disconnection,Resolved
21256,CMP447470,1298-PHBTI,2024-12-22,Network issue,Resolved
21260,CMP232293,1298-PHBTI,2025-02-27,App issue,Closed
21257,CMP344716,1298-PHBTI,2025-04-09,Network issue,Resolved
15542,CMP630063,1299-AURJA,2024-05-03,Billing error,In Progress
15532,CMP483726,1299-AURJA,2024-06-01,Frequent disconnection,In Progress
15529,CMP970515,1299-AURJA,2024-06-03,Service outage,In Progress
15544,CMP745358,1299-AURJA,2024-06-22,Poor customer service,Open
15530,CMP969721,1299-AURJA,2024-07-28,Service outage,Open
15540,CMP737240,1299-AURJA,2024-08-22,Slow internet,Closed
15539,CMP415228,1299-AURJA,2024-10-17,Slow internet,Resolved
15533,CMP314682,1299-AURJA,2024-11-06,Billing error,Closed
15528,CMP497430,1299-AURJA,2024-11-25,Billing error,In Progress
15531,CMP478363,1299-AURJA,2024-12-01,Poor customer service,Open
15536,CMP339461,1299-AURJA,2025-01-01,App issue,Closed
15543,CMP859652,1299-AURJA,2025-01-03,Network issue,In Progress
15537,CMP683381,1299-AURJA,2025-01-11,Slow internet,Resolved
15527,CMP959084,1299-AURJA,2025-02-19,Slow internet,Open
15535,CMP623854,1299-AURJA,2025-03-19,Service outage,In Progress
15534,CMP286464,1299-AURJA,2025-04-12,Poor customer service,In Progress
15538,CMP315719,1299-AURJA,2025-04-27,Unexpected charges,Resolved
15541,CMP188791,1299-AURJA,2025-04-29,Billing error,Closed
44069,CMP490297,1301-LOPVR,2024-05-30,Service outage,In Progress
44070,CMP409153,1301-LOPVR,2024-06-17,Unexpected charges,Resolved
44074,CMP729051,1301-LOPVR,2024-08-10,App issue,Resolved
44072,CMP504203,1301-LOPVR,2024-12-05,Billing error,In Progress
44073,CMP708834,1301-LOPVR,2025-02-12,Network issue,In Progress
44075,CMP930969,1301-LOPVR,2025-03-25,Unexpected charges,Open
44071,CMP319335,1301-LOPVR,2025-04-16,Poor customer service,Closed
79042,CMP463200,1302-TPUBN,2024-07-14,Network issue,Resolved
79041,CMP634744,1302-TPUBN,2024-09-03,Unexpected charges,In Progress
79038,CMP593319,1302-TPUBN,2024-12-18,Network issue,Closed
79040,CMP928426,1302-TPUBN,2024-12-21,App issue,In Progress
79039,CMP586383,1302-TPUBN,2025-01-19,Network issue,In Progress
79037,CMP231804,1302-TPUBN,2025-03-15,Unexpected charges,Closed
27711,CMP872190,1302-UHBDD,2024-07-01,Frequent disconnection,Closed
27718,CMP214151,1302-UHBDD,2024-10-15,Billing error,Open
27716,CMP558886,1302-UHBDD,2024-12-04,Poor customer service,Open
27714,CMP651290,1302-UHBDD,2024-12-23,Network issue,Open
27715,CMP285223,1302-UHBDD,2024-12-30,Unexpected charges,In Progress
27719,CMP745725,1302-UHBDD,2025-02-25,Billing error,Resolved
27717,CMP225709,1302-UHBDD,2025-03-01,Network issue,Open
27712,CMP792367,1302-UHBDD,2025-03-14,Frequent disconnection,Resolved
27710,CMP724962,1302-UHBDD,2025-03-16,Billing error,Open
27713,CMP514504,1302-UHBDD,2025-03-30,Frequent disconnection,Resolved
37148,CMP245702,1303-SRDOK,2024-07-18,Slow internet,Resolved
37146,CMP868183,1303-SRDOK,2024-11-19,Unexpected charges,Closed
37147,CMP864186,1303-SRDOK,2024-12-03,Unexpected charges,Open
37145,CMP612151,1303-SRDOK,2025-02-22,Unexpected charges,Open
37149,CMP216141,1303-SRDOK,2025-02-27,Billing error,In Progress
5955,CMP372362,1304-BCCFO,2024-06-14,Service outage,Open
5952,CMP368818,1304-BCCFO,2024-09-08,Network issue,Closed
5950,CMP283558,1304-BCCFO,2024-09-28,Billing error,Closed
5951,CMP276767,1304-BCCFO,2024-10-15,Poor customer service,Open
5949,CMP386244,1304-BCCFO,2024-11-28,Slow internet,Closed
5954,CMP678567,1304-BCCFO,2024-12-15,Poor customer service,In Progress
5953,CMP659166,1304-BCCFO,2024-12-21,Frequent disconnection,In Progress
48761,CMP431078,1304-NECVQ,2024-05-13,Billing error,Closed
48766,CMP929603,1304-NECVQ,2024-05-21,Frequent disconnection,Closed
48757,CMP601526,1304-NECVQ,2024-07-09,Service outage,Closed
48765,CMP226031,1304-NECVQ,2024-09-24,Poor customer service,Resolved
48762,CMP992370,1304-NECVQ,2024-10-03,Billing error,Resolved
48756,CMP172087,1304-NECVQ,2024-10-04,Billing error,Closed
48759,CMP264566,1304-NECVQ,2024-10-27,Frequent disconnection,Open
48763,CMP839334,1304-NECVQ,2024-10-29,Poor customer service,Closed
48758,CMP149476,1304-NECVQ,2024-11-04,Poor customer service,In Progress
48764,CMP599739,1304-NECVQ,2024-12-18,Network issue,Open
48755,CMP179399,1304-NECVQ,2025-03-29,App issue,Closed
48754,CMP506311,1304-NECVQ,2025-04-18,App issue,Open
48760,CMP555467,1304-NECVQ,2025-04-30,Poor customer service,In Progress
85930,CMP800063,1304-SEGFY,2024-06-17,Billing error,Open
85921,CMP633803,1304-SEGFY,2024-06-20,Billing error,Open
85923,CMP942582,1304-SEGFY,2024-06-24,Poor customer service,Open
85929,CMP645307,1304-SEGFY,2024-07-13,Frequent disconnection,Open
85926,CMP881898,1304-SEGFY,2024-08-10,Frequent disconnection,Closed
85917,CMP223343,1304-SEGFY,2024-09-05,Slow internet,Resolved
85928,CMP431843,1304-SEGFY,2024-10-19,Unexpected charges,Resolved
85924,CMP829985,1304-SEGFY,2024-12-23,Frequent disconnection,Open
85920,CMP375095,1304-SEGFY,2024-12-26,Frequent disconnection,Open
85919,CMP573749,1304-SEGFY,2025-01-02,Network issue,Resolved
85918,CMP904656,1304-SEGFY,2025-01-31,Poor customer service,In Progress
85927,CMP168241,1304-SEGFY,2025-02-07,Network issue,In Progress
85922,CMP307127,1304-SEGFY,2025-02-09,Network issue,Open
85925,CMP584099,1304-SEGFY,2025-02-13,Service outage,Closed
85932,CMP116224,1304-SEGFY,2025-02-23,Service outage,Resolved
85931,CMP488204,1304-SEGFY,2025-03-21,Frequent disconnection,In Progress
85916,CMP985452,1304-SEGFY,2025-03-28,Poor customer service,Resolved
85933,CMP579142,1304-SEGFY,2025-03-31,Network issue,Closed
28912,CMP349026,1306-RPWXZ,2024-05-29,Frequent disconnection,Closed
28919,CMP552726,1306-RPWXZ,2024-07-05,Billing error,In Progress
28913,CMP865315,1306-RPWXZ,2024-07-18,Slow internet,Open
28908,CMP865336,1306-RPWXZ,2024-07-22,Slow internet,In Progress
28906,CMP718545,1306-RPWXZ,2024-08-21,Unexpected charges,Open
28911,CMP145738,1306-RPWXZ,2024-08-28,App issue,Closed
28916,CMP391685,1306-RPWXZ,2024-09-17,Unexpected charges,Closed
28915,CMP807612,1306-RPWXZ,2024-09-22,Service outage,Closed
28907,CMP691809,1306-RPWXZ,2024-10-13,Service outage,Resolved
28904,CMP469048,1306-RPWXZ,2024-10-14,Service outage,In Progress
28920,CMP658204,1306-RPWXZ,2024-11-09,Frequent disconnection,In Progress
28910,CMP360494,1306-RPWXZ,2024-11-27,Poor customer service,Open
28917,CMP699289,1306-RPWXZ,2024-12-08,Slow internet,Closed
28903,CMP746953,1306-RPWXZ,2024-12-12,Poor customer service,In Progress
28909,CMP355604,1306-RPWXZ,2025-01-07,Billing error,Open
28914,CMP248294,1306-RPWXZ,2025-02-17,Service outage,In Progress
28905,CMP783285,1306-RPWXZ,2025-03-05,Poor customer service,Open
28918,CMP437707,1306-RPWXZ,2025-03-28,Billing error,Closed
54558,CMP375859,1307-ATKGB,2024-05-11,App issue,Resolved
54564,CMP279963,1307-ATKGB,2024-05-18,App issue,Closed
54562,CMP772332,1307-ATKGB,2024-08-31,Service outage,Closed
54560,CMP607584,1307-ATKGB,2024-10-16,Unexpected charges,Closed
54556,CMP858575,1307-ATKGB,2024-10-28,Frequent disconnection,In Progress
54557,CMP378263,1307-ATKGB,2024-11-04,Poor customer service,Closed
54563,CMP991592,1307-ATKGB,2024-12-03,Frequent disconnection,Closed
54561,CMP508599,1307-ATKGB,2024-12-27,Network issue,Closed
54559,CMP793114,1307-ATKGB,2025-01-25,Unexpected charges,Closed
9294,CMP529068,1307-TVUFB,2024-06-23,Poor customer service,Resolved
9296,CMP765201,1307-TVUFB,2024-06-25,Service outage,Open
9293,CMP231423,1307-TVUFB,2024-07-05,Poor customer service,Resolved
9292,CMP313526,1307-TVUFB,2024-09-17,Slow internet,Resolved
9291,CMP626155,1307-TVUFB,2024-09-19,Billing error,Resolved
9295,CMP232513,1307-TVUFB,2025-04-05,Unexpected charges,Resolved
81231,CMP882571,1309-BXVOQ,2024-05-21,Service outage,Closed
81235,CMP636353,1309-BXVOQ,2024-06-17,Unexpected charges,Resolved
81233,CMP268246,1309-BXVOQ,2024-07-30,Billing error,Open
81234,CMP501378,1309-BXVOQ,2024-08-03,Unexpected charges,Open
81226,CMP910748,1309-BXVOQ,2024-08-07,App issue,Open
81228,CMP477716,1309-BXVOQ,2024-08-12,Poor customer service,Resolved
81237,CMP929831,1309-BXVOQ,2024-08-21,Billing error,Closed
81232,CMP721496,1309-BXVOQ,2024-09-01,Network issue,Open
81236,CMP482121,1309-BXVOQ,2024-12-23,Unexpected charges,Closed
81225,CMP745669,1309-BXVOQ,2024-12-28,Poor customer service,Open
81227,CMP394347,1309-BXVOQ,2025-01-01,App issue,Open
81224,CMP790034,1309-BXVOQ,2025-02-03,Poor customer service,Open
81229,CMP667783,1309-BXVOQ,2025-02-25,Poor customer service,Resolved
81230,CMP337141,1309-BXVOQ,2025-03-11,Billing error,Resolved
46813,CMP672545,1309-XGFSN,2024-05-04,Frequent disconnection,Resolved
46820,CMP952076,1309-XGFSN,2024-06-09,Billing error,In Progress
46812,CMP453166,1309-XGFSN,2024-08-31,Poor customer service,Open
46821,CMP687384,1309-XGFSN,2024-09-09,App issue,In Progress
46817,CMP402687,1309-XGFSN,2024-09-19,Frequent disconnection,Resolved
46829,CMP676469,1309-XGFSN,2024-09-28,Service outage,Resolved
46828,CMP226834,1309-XGFSN,2024-10-13,Poor customer service,In Progress
46830,CMP800953,1309-XGFSN,2024-10-17,Slow internet,In Progress
46825,CMP111755,1309-XGFSN,2024-10-28,Poor customer service,Closed
46819,CMP911588,1309-XGFSN,2024-12-14,Frequent disconnection,Open
46816,CMP438197,1309-XGFSN,2024-12-25,Billing error,In Progress
46815,CMP476975,1309-XGFSN,2024-12-29,Unexpected charges,In Progress
46826,CMP476822,1309-XGFSN,2024-12-31,Poor customer service,In Progress
46823,CMP686295,1309-XGFSN,2025-01-11,Poor customer service,Closed
46814,CMP400565,1309-XGFSN,2025-02-16,App issue,In Progress
46827,CMP423330,1309-XGFSN,2025-03-05,Frequent disconnection,Resolved
46822,CMP677482,1309-XGFSN,2025-03-13,Service outage,Open
46824,CMP857665,1309-XGFSN,2025-04-05,Poor customer service,Open
46818,CMP667864,1309-XGFSN,2025-04-14,App issue,Closed
67072,CMP987315,1310-QRITU,2024-05-12,Unexpected charges,In Progress
67073,CMP424969,1310-QRITU,2024-06-22,App issue,Open
67081,CMP551523,1310-QRITU,2024-07-09,Service outage,Open
67074,CMP989282,1310-QRITU,2024-07-10,App issue,In Progress
67078,CMP394597,1310-QRITU,2024-08-16,Frequent disconnection,Open
67079,CMP860797,1310-QRITU,2024-08-24,Service outage,Resolved
